poe,date,arrivals,arrivals_male,arrivals_female
Pelabuhan Klang Barat - KMT,2023-10-01,16,14,2
Pelabuhan Klang Barat - KMT,2023-11-01,3214,1390,1824
Pelabuhan Klang Barat - SCT,2020-01-01,38,21,17
Pelabuhan Klang Barat - SCT,2020-02-01,27,16,11
Pelabuhan Klang Barat - SCT,2020-03-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-04-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-05-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-06-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-07-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-08-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-09-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-10-01,57,37,20
Pelabuhan Klang Barat - SCT,2020-11-01,0,0,0
Pelabuhan Klang Barat - SCT,2020-12-01,13,13,0
Pelabuhan Klang Barat - SCT,2021-01-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-02-01,51,42,9
Pelabuhan Klang Barat - SCT,2021-03-01,4,4,0
Pelabuhan Klang Barat - SCT,2021-04-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-05-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-06-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-07-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-08-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-09-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-10-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-11-01,0,0,0
Pelabuhan Klang Barat - SCT,2021-12-01,0,0,0
Pelabuhan Klang Barat - SCT,2022-01-01,0,0,0
Pelabuhan Klang Barat - SCT,2022-02-01,0,0,0
Pelabuhan Klang Barat - SCT,2022-03-01,0,0,0
Pelabuhan Klang Barat - SCT,2022-04-01,0,0,0
Pelabuhan Klang Barat - SCT,2022-05-01,0,0,0
Pelabuhan Klang Barat - SCT,2022-06-01,0,0,0
Pelabuhan Klang Barat - SCT,2022-07-01,869,408,461
Pelabuhan Klang Barat - SCT,2022-08-01,249,102,147
Pelabuhan Klang Barat - SCT,2022-09-01,631,286,345
Pelabuhan Klang Barat - SCT,2022-10-01,24288,10808,13480
Pelabuhan Klang Barat - SCT,2022-11-01,21910,9305,12605
Pelabuhan Klang Barat - SCT,2022-12-01,14894,6948,7946
Pelabuhan Klang Barat - SCT,2023-01-01,10837,4874,5963
Pelabuhan Klang Barat - SCT,2023-02-01,3759,1587,2172
Pelabuhan Klang Barat - SCT,2023-03-01,2097,929,1168
Pelabuhan Klang Barat - SCT,2023-04-01,952,399,553
Pelabuhan Klang Barat - SCT,2023-05-01,16287,7286,9001
Pelabuhan Klang Barat - SCT,2023-06-01,3839,1728,2111
Pelabuhan Klang Barat - SCT,2023-07-01,1054,537,517
Pelabuhan Klang Barat - SCT,2023-08-01,5981,2582,3399
Pelabuhan Klang Barat - SCT,2023-09-01,11764,5036,6728
Pelabuhan Klang Barat - SCT,2023-10-01,20,6,14
Pelabuhan Klang Barat - SCT,2023-11-01,1886,887,999
Pelabuhan Klang Selatan - Jeti,2020-01-01,3627,1944,1683
Pelabuhan Klang Selatan - Jeti,2020-02-01,3705,2098,1607
Pelabuhan Klang Selatan - Jeti,2020-03-01,1573,895,678
Pelabuhan Klang Selatan - Jeti,2020-04-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-05-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-06-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-07-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-08-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-09-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-10-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-11-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2020-12-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-01-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-02-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-03-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-04-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-05-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-06-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-07-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-08-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-09-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-10-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-11-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2021-12-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-01-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-02-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-03-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-04-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-05-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-06-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-07-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-08-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-09-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-10-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-11-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2022-12-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-01-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-02-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-03-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-04-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-05-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-06-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-07-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-08-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-09-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-10-01,0,0,0
Pelabuhan Klang Selatan - Jeti,2023-11-01,0,0,0
Pelabuhan Klang Utara,2020-01-01,18,16,2
Pelabuhan Klang Utara,2020-02-01,15,15,0
Pelabuhan Klang Utara,2020-03-01,7,7,0
Pelabuhan Klang Utara,2020-04-01,0,0,0
Pelabuhan Klang Utara,2020-05-01,0,0,0
Pelabuhan Klang Utara,2020-06-01,0,0,0
Pelabuhan Klang Utara,2020-07-01,0,0,0
Pelabuhan Klang Utara,2020-08-01,0,0,0
Pelabuhan Klang Utara,2020-09-01,0,0,0
Pelabuhan Klang Utara,2020-10-01,0,0,0
Pelabuhan Klang Utara,2020-11-01,0,0,0
Pelabuhan Klang Utara,2020-12-01,0,0,0
Pelabuhan Klang Utara,2021-01-01,0,0,0
Pelabuhan Klang Utara,2021-02-01,0,0,0
Pelabuhan Klang Utara,2021-03-01,0,0,0
Pelabuhan Klang Utara,2021-04-01,0,0,0
Pelabuhan Klang Utara,2021-05-01,0,0,0
Pelabuhan Klang Utara,2021-06-01,0,0,0
Pelabuhan Klang Utara,2021-07-01,0,0,0
Pelabuhan Klang Utara,2021-08-01,0,0,0
Pelabuhan Klang Utara,2021-09-01,0,0,0
Pelabuhan Klang Utara,2021-10-01,0,0,0
Pelabuhan Klang Utara,2021-11-01,0,0,0
Pelabuhan Klang Utara,2021-12-01,0,0,0
Pelabuhan Klang Utara,2022-01-01,0,0,0
Pelabuhan Klang Utara,2022-02-01,0,0,0
Pelabuhan Klang Utara,2022-03-01,0,0,0
Pelabuhan Klang Utara,2022-04-01,0,0,0
Pelabuhan Klang Utara,2022-05-01,4,4,0
Pelabuhan Klang Utara,2022-06-01,1,1,0
Pelabuhan Klang Utara,2022-07-01,7,7,0
Pelabuhan Klang Utara,2022-08-01,3,3,0
Pelabuhan Klang Utara,2022-09-01,14,14,0
Pelabuhan Klang Utara,2022-10-01,7,5,2
Pelabuhan Klang Utara,2022-11-01,45,31,14
Pelabuhan Klang Utara,2022-12-01,5443,2301,3142
Pelabuhan Klang Utara,2023-01-01,4456,2003,2453
Pelabuhan Klang Utara,2023-02-01,2393,1176,1217
Pelabuhan Klang Utara,2023-03-01,34,15,19
Pelabuhan Klang Utara,2023-04-01,5,5,0
Pelabuhan Klang Utara,2023-05-01,8,7,1
Pelabuhan Klang Utara,2023-06-01,1,1,0
Pelabuhan Klang Utara,2023-07-01,4,4,0
Pelabuhan Klang Utara,2023-08-01,14,13,1
Pelabuhan Klang Utara,2023-09-01,1,0,1
Pelabuhan Klang Utara,2023-10-01,9,7,2
Pelabuhan Klang Utara,2023-11-01,33,30,3
Pelabuhan Kuantan,2020-01-01,25,24,1
Pelabuhan Kuantan,2020-02-01,55,55,0
Pelabuhan Kuantan,2020-03-01,29,29,0
Pelabuhan Kuantan,2020-04-01,0,0,0
Pelabuhan Kuantan,2020-05-01,2,2,0
Pelabuhan Kuantan,2020-06-01,0,0,0
Pelabuhan Kuantan,2020-07-01,0,0,0
Pelabuhan Kuantan,2020-08-01,0,0,0
Pelabuhan Kuantan,2020-09-01,0,0,0
Pelabuhan Kuantan,2020-10-01,0,0,0
Pelabuhan Kuantan,2020-11-01,0,0,0
Pelabuhan Kuantan,2020-12-01,0,0,0
Pelabuhan Kuantan,2021-01-01,0,0,0
Pelabuhan Kuantan,2021-02-01,0,0,0
Pelabuhan Kuantan,2021-03-01,1,1,0
Pelabuhan Kuantan,2021-04-01,3,3,0
Pelabuhan Kuantan,2021-05-01,3,3,0
Pelabuhan Kuantan,2021-06-01,0,0,0
Pelabuhan Kuantan,2021-07-01,0,0,0
Pelabuhan Kuantan,2021-08-01,0,0,0
Pelabuhan Kuantan,2021-09-01,0,0,0
Pelabuhan Kuantan,2021-10-01,0,0,0
Pelabuhan Kuantan,2021-11-01,0,0,0
Pelabuhan Kuantan,2021-12-01,0,0,0
Pelabuhan Kuantan,2022-01-01,0,0,0
Pelabuhan Kuantan,2022-02-01,0,0,0
Pelabuhan Kuantan,2022-03-01,0,0,0
Pelabuhan Kuantan,2022-04-01,0,0,0
Pelabuhan Kuantan,2022-05-01,0,0,0
Pelabuhan Kuantan,2022-06-01,8,8,0
Pelabuhan Kuantan,2022-07-01,2,2,0
Pelabuhan Kuantan,2022-08-01,0,0,0
Pelabuhan Kuantan,2022-09-01,4,4,0
Pelabuhan Kuantan,2022-10-01,3,3,0
Pelabuhan Kuantan,2022-11-01,15,15,0
Pelabuhan Kuantan,2022-12-01,5,5,0
Pelabuhan Kuantan,2023-01-01,6,5,1
Pelabuhan Kuantan,2023-02-01,13,13,0
Pelabuhan Kuantan,2023-03-01,22,22,0
Pelabuhan Kuantan,2023-04-01,7,7,0
Pelabuhan Kuantan,2023-05-01,45,45,0
Pelabuhan Kuantan,2023-06-01,19,19,0
Pelabuhan Kuantan,2023-07-01,25,25,0
Pelabuhan Kuantan,2023-08-01,25,25,0
Pelabuhan Kuantan,2023-09-01,29,23,6
Pelabuhan Kuantan,2023-10-01,21,14,7
Pelabuhan Kuantan,2023-11-01,12,12,0
Pelabuhan Kuching,2020-01-01,0,0,0
Pelabuhan Kuching,2020-02-01,0,0,0
Pelabuhan Kuching,2020-03-01,0,0,0
Pelabuhan Kuching,2020-04-01,0,0,0
Pelabuhan Kuching,2020-05-01,0,0,0
Pelabuhan Kuching,2020-06-01,0,0,0
Pelabuhan Kuching,2020-07-01,0,0,0
Pelabuhan Kuching,2020-08-01,0,0,0
Pelabuhan Kuching,2020-09-01,0,0,0
Pelabuhan Kuching,2020-10-01,0,0,0
Pelabuhan Kuching,2020-11-01,0,0,0
Pelabuhan Kuching,2020-12-01,0,0,0
Pelabuhan Kuching,2021-01-01,0,0,0
Pelabuhan Kuching,2021-02-01,0,0,0
Pelabuhan Kuching,2021-03-01,0,0,0
Pelabuhan Kuching,2021-04-01,0,0,0
Pelabuhan Kuching,2021-05-01,0,0,0
Pelabuhan Kuching,2021-06-01,0,0,0
Pelabuhan Kuching,2021-07-01,0,0,0
Pelabuhan Kuching,2021-08-01,0,0,0
Pelabuhan Kuching,2021-09-01,0,0,0
Pelabuhan Kuching,2021-10-01,0,0,0
Pelabuhan Kuching,2021-11-01,0,0,0
Pelabuhan Kuching,2021-12-01,0,0,0
Pelabuhan Kuching,2022-01-01,0,0,0
Pelabuhan Kuching,2022-02-01,0,0,0
Pelabuhan Kuching,2022-03-01,0,0,0
Pelabuhan Kuching,2022-04-01,0,0,0
Pelabuhan Kuching,2022-05-01,0,0,0
Pelabuhan Kuching,2022-06-01,0,0,0
Pelabuhan Kuching,2022-07-01,0,0,0
Pelabuhan Kuching,2022-08-01,0,0,0
Pelabuhan Kuching,2022-09-01,0,0,0
Pelabuhan Kuching,2022-10-01,0,0,0
Pelabuhan Kuching,2022-11-01,0,0,0
Pelabuhan Kuching,2022-12-01,0,0,0
Pelabuhan Kuching,2023-01-01,0,0,0
Pelabuhan Kuching,2023-02-01,0,0,0
Pelabuhan Kuching,2023-03-01,200,106,94
Pelabuhan Kuching,2023-04-01,0,0,0
Pelabuhan Kuching,2023-05-01,0,0,0
Pelabuhan Kuching,2023-06-01,0,0,0
Pelabuhan Kuching,2023-07-01,0,0,0
Pelabuhan Kuching,2023-08-01,3,3,0
Pelabuhan Kuching,2023-09-01,0,0,0
Pelabuhan Kuching,2023-10-01,0,0,0
Pelabuhan Kuching,2023-11-01,0,0,0
Pelabuhan Melaka,2020-01-01,5037,2356,2681
Pelabuhan Melaka,2020-02-01,2733,1263,1470
Pelabuhan Melaka,2020-03-01,1037,497,540
Pelabuhan Melaka,2020-04-01,0,0,0
Pelabuhan Melaka,2020-05-01,0,0,0
Pelabuhan Melaka,2020-06-01,0,0,0
Pelabuhan Melaka,2020-07-01,0,0,0
Pelabuhan Melaka,2020-08-01,0,0,0
Pelabuhan Melaka,2020-09-01,0,0,0
Pelabuhan Melaka,2020-10-01,0,0,0
Pelabuhan Melaka,2020-11-01,0,0,0
Pelabuhan Melaka,2020-12-01,0,0,0
Pelabuhan Melaka,2021-01-01,0,0,0
Pelabuhan Melaka,2021-02-01,0,0,0
Pelabuhan Melaka,2021-03-01,0,0,0
Pelabuhan Melaka,2021-04-01,0,0,0
Pelabuhan Melaka,2021-05-01,0,0,0
Pelabuhan Melaka,2021-06-01,0,0,0
Pelabuhan Melaka,2021-07-01,0,0,0
Pelabuhan Melaka,2021-08-01,0,0,0
Pelabuhan Melaka,2021-09-01,0,0,0
Pelabuhan Melaka,2021-10-01,0,0,0
Pelabuhan Melaka,2021-11-01,0,0,0
Pelabuhan Melaka,2021-12-01,0,0,0
Pelabuhan Melaka,2022-01-01,0,0,0
Pelabuhan Melaka,2022-02-01,0,0,0
Pelabuhan Melaka,2022-03-01,13,0,13
Pelabuhan Melaka,2022-04-01,4,4,0
Pelabuhan Melaka,2022-05-01,2977,1355,1622
Pelabuhan Melaka,2022-06-01,5721,2578,3143
Pelabuhan Melaka,2022-07-01,6249,2670,3579
Pelabuhan Melaka,2022-08-01,6509,2775,3734
Pelabuhan Melaka,2022-09-01,6883,3054,3829
Pelabuhan Melaka,2022-10-01,5373,2503,2870
Pelabuhan Melaka,2022-11-01,4182,1916,2266
Pelabuhan Melaka,2022-12-01,6701,2925,3776
Pelabuhan Melaka,2023-01-01,4241,1917,2324
Pelabuhan Melaka,2023-02-01,4058,1812,2246
Pelabuhan Melaka,2023-03-01,3524,1622,1902
Pelabuhan Melaka,2023-04-01,5005,2261,2744
Pelabuhan Melaka,2023-05-01,4367,1920,2447
Pelabuhan Melaka,2023-06-01,4411,2065,2346
Pelabuhan Melaka,2023-07-01,4582,2061,2521
Pelabuhan Melaka,2023-08-01,3400,1651,1749
Pelabuhan Melaka,2023-09-01,4206,1862,2344
Pelabuhan Melaka,2023-10-01,3523,1556,1967
Pelabuhan Melaka,2023-11-01,3689,1683,2006
Pelabuhan Tanjung Pelepas,2020-01-01,422,411,11
Pelabuhan Tanjung Pelepas,2020-02-01,432,426,6
Pelabuhan Tanjung Pelepas,2020-03-01,239,233,6
Pelabuhan Tanjung Pelepas,2020-04-01,0,0,0
Pelabuhan Tanjung Pelepas,2020-05-01,0,0,0
Pelabuhan Tanjung Pelepas,2020-06-01,2,2,0
Pelabuhan Tanjung Pelepas,2020-07-01,155,155,0
Pelabuhan Tanjung Pelepas,2020-08-01,196,194,2
Pelabuhan Tanjung Pelepas,2020-09-01,314,314,0
Pelabuhan Tanjung Pelepas,2020-10-01,124,124,0
Pelabuhan Tanjung Pelepas,2020-11-01,98,96,2
Pelabuhan Tanjung Pelepas,2020-12-01,177,174,3
Pelabuhan Tanjung Pelepas,2021-01-01,175,175,0
Pelabuhan Tanjung Pelepas,2021-02-01,314,307,7
Pelabuhan Tanjung Pelepas,2021-03-01,279,279,0
Pelabuhan Tanjung Pelepas,2021-04-01,348,345,3
Pelabuhan Tanjung Pelepas,2021-05-01,121,121,0
Pelabuhan Tanjung Pelepas,2021-06-01,12,12,0
Pelabuhan Tanjung Pelepas,2021-07-01,9,9,0
Pelabuhan Tanjung Pelepas,2021-08-01,20,20,0
Pelabuhan Tanjung Pelepas,2021-09-01,24,24,0
Pelabuhan Tanjung Pelepas,2021-10-01,27,27,0
Pelabuhan Tanjung Pelepas,2021-11-01,101,100,1
Pelabuhan Tanjung Pelepas,2021-12-01,81,81,0
Pelabuhan Tanjung Pelepas,2022-01-01,309,306,3
Pelabuhan Tanjung Pelepas,2022-02-01,233,231,2
Pelabuhan Tanjung Pelepas,2022-03-01,507,503,4
Pelabuhan Tanjung Pelepas,2022-04-01,435,425,10
Pelabuhan Tanjung Pelepas,2022-05-01,363,358,5
Pelabuhan Tanjung Pelepas,2022-06-01,319,317,2
Pelabuhan Tanjung Pelepas,2022-07-01,345,341,4
Pelabuhan Tanjung Pelepas,2022-08-01,416,414,2
Pelabuhan Tanjung Pelepas,2022-09-01,277,276,1
Pelabuhan Tanjung Pelepas,2022-10-01,334,332,2
Pelabuhan Tanjung Pelepas,2022-11-01,331,324,7
Pelabuhan Tanjung Pelepas,2022-12-01,259,257,2
Pelabuhan Tanjung Pelepas,2023-01-01,396,382,14
Pelabuhan Tanjung Pelepas,2023-02-01,372,360,12
Pelabuhan Tanjung Pelepas,2023-03-01,443,438,5
Pelabuhan Tanjung Pelepas,2023-04-01,410,404,6
Pelabuhan Tanjung Pelepas,2023-05-01,362,357,5
Pelabuhan Tanjung Pelepas,2023-06-01,412,403,9
Pelabuhan Tanjung Pelepas,2023-07-01,339,328,11
Pelabuhan Tanjung Pelepas,2023-08-01,412,405,7
Pelabuhan Tanjung Pelepas,2023-09-01,427,419,8
Pelabuhan Tanjung Pelepas,2023-10-01,337,328,9
Pelabuhan Tanjung Pelepas,2023-11-01,427,421,6
Pengkalan Hulu (Bukit Berapit),2020-01-01,15596,7234,8362
Pengkalan Hulu (Bukit Berapit),2020-02-01,12926,6111,6815
Pengkalan Hulu (Bukit Berapit),2020-03-01,7926,3688,4238
Pengkalan Hulu (Bukit Berapit),2020-04-01,2,0,2
Pengkalan Hulu (Bukit Berapit),2020-05-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2020-06-01,2,1,1
Pengkalan Hulu (Bukit Berapit),2020-07-01,7,0,7
Pengkalan Hulu (Bukit Berapit),2020-08-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2020-09-01,2,0,2
Pengkalan Hulu (Bukit Berapit),2020-10-01,1,0,1
Pengkalan Hulu (Bukit Berapit),2020-11-01,5,2,3
Pengkalan Hulu (Bukit Berapit),2020-12-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-01-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-02-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-03-01,2,0,2
Pengkalan Hulu (Bukit Berapit),2021-04-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-05-01,1,0,1
Pengkalan Hulu (Bukit Berapit),2021-06-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-07-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-08-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-09-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-10-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-11-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2021-12-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2022-01-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2022-02-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2022-03-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2022-04-01,0,0,0
Pengkalan Hulu (Bukit Berapit),2022-05-01,745,243,502
Pengkalan Hulu (Bukit Berapit),2022-06-01,3342,1561,1781
Pengkalan Hulu (Bukit Berapit),2022-07-01,6594,3230,3364
Pengkalan Hulu (Bukit Berapit),2022-08-01,8303,4059,4244
Pengkalan Hulu (Bukit Berapit),2022-09-01,4904,2773,2131
Pengkalan Hulu (Bukit Berapit),2022-10-01,9324,4468,4856
Pengkalan Hulu (Bukit Berapit),2022-11-01,9548,4639,4909
Pengkalan Hulu (Bukit Berapit),2022-12-01,9976,4784,5192
Pengkalan Hulu (Bukit Berapit),2023-01-01,9734,4653,5081
Pengkalan Hulu (Bukit Berapit),2023-02-01,10914,5331,5583
Pengkalan Hulu (Bukit Berapit),2023-03-01,13943,6727,7216
Pengkalan Hulu (Bukit Berapit),2023-04-01,13155,6033,7122
Pengkalan Hulu (Bukit Berapit),2023-05-01,13904,6646,7258
Pengkalan Hulu (Bukit Berapit),2023-06-01,10021,4666,5355
Pengkalan Hulu (Bukit Berapit),2023-07-01,14605,6696,7909
Pengkalan Hulu (Bukit Berapit),2023-08-01,13231,6345,6886
Pengkalan Hulu (Bukit Berapit),2023-09-01,10458,4926,5532
Pengkalan Hulu (Bukit Berapit),2023-10-01,12639,5804,6835
Pengkalan Hulu (Bukit Berapit),2023-11-01,11246,5304,5942
Pengkalan Kubur,2020-01-01,11738,6406,5332
Pengkalan Kubur,2020-02-01,12455,7560,4895
Pengkalan Kubur,2020-03-01,6227,3352,2875
Pengkalan Kubur,2020-04-01,0,0,0
Pengkalan Kubur,2020-05-01,0,0,0
Pengkalan Kubur,2020-06-01,0,0,0
Pengkalan Kubur,2020-07-01,0,0,0
Pengkalan Kubur,2020-08-01,0,0,0
Pengkalan Kubur,2020-09-01,0,0,0
Pengkalan Kubur,2020-10-01,0,0,0
Pengkalan Kubur,2020-11-01,0,0,0
Pengkalan Kubur,2020-12-01,0,0,0
Pengkalan Kubur,2021-01-01,0,0,0
Pengkalan Kubur,2021-02-01,0,0,0
Pengkalan Kubur,2021-03-01,0,0,0
Pengkalan Kubur,2021-04-01,0,0,0
Pengkalan Kubur,2021-05-01,0,0,0
Pengkalan Kubur,2021-06-01,0,0,0
Pengkalan Kubur,2021-07-01,0,0,0
Pengkalan Kubur,2021-08-01,0,0,0
Pengkalan Kubur,2021-09-01,0,0,0
Pengkalan Kubur,2021-10-01,0,0,0
Pengkalan Kubur,2021-11-01,0,0,0
Pengkalan Kubur,2021-12-01,0,0,0
Pengkalan Kubur,2022-01-01,2,0,2
Pengkalan Kubur,2022-02-01,0,0,0
Pengkalan Kubur,2022-03-01,0,0,0
Pengkalan Kubur,2022-04-01,0,0,0
Pengkalan Kubur,2022-05-01,901,442,459
Pengkalan Kubur,2022-06-01,1579,700,879
Pengkalan Kubur,2022-07-01,1524,725,799
Pengkalan Kubur,2022-08-01,3290,1603,1687
Pengkalan Kubur,2022-09-01,3731,1820,1911
Pengkalan Kubur,2022-10-01,7095,3417,3678
Pengkalan Kubur,2022-11-01,4671,2202,2469
Pengkalan Kubur,2022-12-01,3040,1417,1623
Pengkalan Kubur,2023-01-01,4741,2389,2352
Pengkalan Kubur,2023-02-01,6658,3984,2674
Pengkalan Kubur,2023-03-01,7061,3384,3677
Pengkalan Kubur,2023-04-01,6782,3064,3718
Pengkalan Kubur,2023-05-01,7477,3638,3839
Pengkalan Kubur,2023-06-01,6162,2828,3334
Pengkalan Kubur,2023-07-01,8035,4048,3987
Pengkalan Kubur,2023-08-01,5258,2697,2561
Pengkalan Kubur,2023-09-01,6297,3203,3094
Pengkalan Kubur,2023-10-01,8214,3883,4331
Pengkalan Kubur,2023-11-01,6423,3145,3278
Pos Imigresen Bukit Bunga,2020-01-01,6816,3570,3246
Pos Imigresen Bukit Bunga,2020-02-01,6036,3323,2713
Pos Imigresen Bukit Bunga,2020-03-01,3662,2002,1660
Pos Imigresen Bukit Bunga,2020-04-01,0,0,0
Pos Imigresen Bukit Bunga,2020-05-01,0,0,0
Pos Imigresen Bukit Bunga,2020-06-01,0,0,0
Pos Imigresen Bukit Bunga,2020-07-01,0,0,0
Pos Imigresen Bukit Bunga,2020-08-01,0,0,0
Pos Imigresen Bukit Bunga,2020-09-01,0,0,0
Pos Imigresen Bukit Bunga,2020-10-01,0,0,0
Pos Imigresen Bukit Bunga,2020-11-01,0,0,0
Pos Imigresen Bukit Bunga,2020-12-01,0,0,0
Pos Imigresen Bukit Bunga,2021-01-01,0,0,0
Pos Imigresen Bukit Bunga,2021-02-01,0,0,0
Pos Imigresen Bukit Bunga,2021-03-01,0,0,0
Pos Imigresen Bukit Bunga,2021-04-01,0,0,0
Pos Imigresen Bukit Bunga,2021-05-01,0,0,0
Pos Imigresen Bukit Bunga,2021-06-01,0,0,0
Pos Imigresen Bukit Bunga,2021-07-01,0,0,0
Pos Imigresen Bukit Bunga,2021-08-01,0,0,0
Pos Imigresen Bukit Bunga,2021-09-01,0,0,0
Pos Imigresen Bukit Bunga,2021-10-01,0,0,0
Pos Imigresen Bukit Bunga,2021-11-01,0,0,0
Pos Imigresen Bukit Bunga,2021-12-01,0,0,0
Pos Imigresen Bukit Bunga,2022-01-01,0,0,0
Pos Imigresen Bukit Bunga,2022-02-01,0,0,0
Pos Imigresen Bukit Bunga,2022-03-01,0,0,0
Pos Imigresen Bukit Bunga,2022-04-01,0,0,0
Pos Imigresen Bukit Bunga,2022-05-01,64,27,37
Pos Imigresen Bukit Bunga,2022-06-01,393,210,183
Pos Imigresen Bukit Bunga,2022-07-01,1582,749,833
Pos Imigresen Bukit Bunga,2022-08-01,3763,1794,1969
Pos Imigresen Bukit Bunga,2022-09-01,5874,3182,2692
Pos Imigresen Bukit Bunga,2022-10-01,8001,4700,3301
Pos Imigresen Bukit Bunga,2022-11-01,7986,4842,3144
Pos Imigresen Bukit Bunga,2022-12-01,7526,4018,3508
Pos Imigresen Bukit Bunga,2023-01-01,10620,5986,4634
Pos Imigresen Bukit Bunga,2023-02-01,10177,5833,4344
Pos Imigresen Bukit Bunga,2023-03-01,12418,6946,5472
Pos Imigresen Bukit Bunga,2023-04-01,11508,6219,5289
Pos Imigresen Bukit Bunga,2023-05-01,12438,7194,5244
Pos Imigresen Bukit Bunga,2023-06-01,11704,6811,4893
Pos Imigresen Bukit Bunga,2023-07-01,13268,7711,5557
Pos Imigresen Bukit Bunga,2023-08-01,11157,6560,4597
Pos Imigresen Bukit Bunga,2023-09-01,11351,7067,4284
Pos Imigresen Bukit Bunga,2023-10-01,15783,9668,6115
Pos Imigresen Bukit Bunga,2023-11-01,12061,6601,5460
Pos Imigresen Mengkalap,2020-01-01,6702,3745,2957
Pos Imigresen Mengkalap,2020-02-01,5725,3408,2317
Pos Imigresen Mengkalap,2020-03-01,2647,1614,1033
Pos Imigresen Mengkalap,2020-04-01,271,269,2
Pos Imigresen Mengkalap,2020-05-01,232,231,1
Pos Imigresen Mengkalap,2020-06-01,254,249,5
Pos Imigresen Mengkalap,2020-07-01,177,175,2
