ym,soe,arrivals,rank
2024-09-01,Melaka,3747,11
2024-09-01,W.P. Labuan,1555,12
2024-09-01,Pahang,860,13
2024-10-01,Johor,1841017,1
2024-10-01,Selangor,768771,2
2024-10-01,Sarawak,150799,3
2024-10-01,Pulau Pinang,100650,4
2024-10-01,Kedah,62119,5
2024-10-01,Perlis,58045,6
2024-10-01,Kelantan,49330,7
2024-10-01,Sabah,44282,8
2024-10-01,Perak,14155,9
2024-10-01,Negeri Sembilan,5109,10
2024-10-01,Melaka,3497,11
2024-10-01,W.P. Labuan,1089,12
2024-10-01,Pahang,937,13
2024-10-01,Terengganu,7,14
