soe,date,arrivals,arrivals_male,arrivals_female
Perak,2024-01-01,16969,7976,8993
Perlis,2024-01-01,58898,35138,23760
Pulau Pinang,2024-01-01,98132,44646,53486
Sabah,2024-01-01,67279,29696,37583
Sarawak,2024-01-01,176310,95746,80564
Selangor,2024-01-01,825945,452257,373688
Terengganu,2024-01-01,15,15,0
W.P. Labuan,2024-01-01,1412,958,454
Johor,2024-02-01,1389651,768268,621383
Kedah,2024-02-01,104399,56535,47864
Kelantan,2024-02-01,56124,28910,27214
Melaka,2024-02-01,3291,1479,1812
Negeri Sembilan,2024-02-01,4411,2567,1844
Pahang,2024-02-01,714,367,347
Perak,2024-02-01,19533,9124,10409
Perlis,2024-02-01,58854,33724,25130
Pulau Pinang,2024-02-01,88273,41291,46982
Sabah,2024-02-01,68963,30981,37982
Sarawak,2024-02-01,190621,101221,89400
Selangor,2024-02-01,804850,430744,374106
Terengganu,2024-02-01,24,15,9
W.P. Labuan,2024-02-01,2576,1590,986
Johor,2024-03-01,1882339,1010380,871959
Kedah,2024-03-01,101507,55998,45509
Kelantan,2024-03-01,61724,30496,31228
Melaka,2024-03-01,3074,1413,1661
Negeri Sembilan,2024-03-01,4954,2816,2138
Pahang,2024-03-01,1111,614,497
Perak,2024-03-01,22246,10455,11791
Perlis,2024-03-01,59513,34402,25111
Pulau Pinang,2024-03-01,124257,57580,66677
Sabah,2024-03-01,50964,21968,28996
Sarawak,2024-03-01,214777,112393,102384
Selangor,2024-03-01,725189,397969,327220
Terengganu,2024-03-01,16,10,6
W.P. Labuan,2024-03-01,1590,1040,550
Johor,2024-04-01,1637745,912098,725647
Kedah,2024-04-01,68372,36233,32139
Kelantan,2024-04-01,55767,27666,28101
Melaka,2024-04-01,4776,2122,2654
Negeri Sembilan,2024-04-01,5204,3169,2035
Pahang,2024-04-01,695,377,318
Perak,2024-04-01,19059,8806,10253
Perlis,2024-04-01,55692,31206,24486
Pulau Pinang,2024-04-01,85610,39921,45689
Sabah,2024-04-01,39348,17643,21705
Sarawak,2024-04-01,231503,122358,109145
Selangor,2024-04-01,728498,392344,336154
Terengganu,2024-04-01,21,5,16
W.P. Labuan,2024-04-01,1962,1161,801
Johor,2024-05-01,1793130,988447,804683
Kedah,2024-05-01,88882,46709,42173
Kelantan,2024-05-01,57354,29172,28182
Melaka,2024-05-01,3982,1770,2212
Negeri Sembilan,2024-05-01,9700,6429,3271
Pahang,2024-05-01,1123,632,491
Perak,2024-05-01,16818,7779,9039
Perlis,2024-05-01,51422,29370,22052
Pulau Pinang,2024-05-01,99646,46644,53002
Sabah,2024-05-01,47592,21425,26167
Sarawak,2024-05-01,207635,114235,93400
Selangor,2024-05-01,819542,478907,340635
Terengganu,2024-05-01,1,1,0
W.P. Labuan,2024-05-01,2043,1209,834
Johor,2024-06-01,2077267,1112617,964650
Kedah,2024-06-01,72074,37301,34773
Kelantan,2024-06-01,51685,25848,25837
Melaka,2024-06-01,5367,2433,2934
Negeri Sembilan,2024-06-01,7176,4300,2876
Pahang,2024-06-01,1226,666,560
Perak,2024-06-01,20088,9419,10669
Perlis,2024-06-01,52325,29122,23203
Pulau Pinang,2024-06-01,112060,51518,60542
Sabah,2024-06-01,59708,26005,33703
Sarawak,2024-06-01,205241,108896,96345
Selangor,2024-06-01,853615,445853,407762
Terengganu,2024-06-01,5,5,0
W.P. Labuan,2024-06-01,1595,1049,546
Johor,2024-07-01,1944790,1058351,886439
Kedah,2024-07-01,77367,40407,36960
Kelantan,2024-07-01,52115,26448,25667
Melaka,2024-07-01,3801,1738,2063
Negeri Sembilan,2024-07-01,6692,4141,2551
Pahang,2024-07-01,856,471,385
Perak,2024-07-01,18212,8244,9968
Perlis,2024-07-01,54641,30867,23774
Pulau Pinang,2024-07-01,113961,51997,61964
Sabah,2024-07-01,70638,30896,39742
Sarawak,2024-07-01,211977,113645,98332
Selangor,2024-07-01,971964,494031,477933
Terengganu,2024-07-01,2,1,1
W.P. Labuan,2024-07-01,1327,850,477
Johor,2024-08-01,2094522,1140988,953534
Kedah,2024-08-01,81258,42183,39075
Kelantan,2024-08-01,53854,26998,26856
Melaka,2024-08-01,2887,1303,1584
Negeri Sembilan,2024-08-01,6762,4012,2750
Pahang,2024-08-01,851,465,386
Perak,2024-08-01,17423,8026,9397
Perlis,2024-08-01,55128,30653,24475
Pulau Pinang,2024-08-01,115088,53260,61828
Sabah,2024-08-01,79734,34884,44850
Sarawak,2024-08-01,237740,126255,111485
Selangor,2024-08-01,1023369,522407,500962
W.P. Labuan,2024-08-01,2216,1337,879
Johor,2024-09-01,1928709,1057654,871055
Kedah,2024-09-01,62025,32300,29725
Kelantan,2024-09-01,49953,25047,24906
Melaka,2024-09-01,3747,1720,2027
Negeri Sembilan,2024-09-01,6573,3699,2874
Pahang,2024-09-01,860,454,406
Perak,2024-09-01,15831,7166,8665
Perlis,2024-09-01,55072,30607,24465
Pulau Pinang,2024-09-01,99052,46944,52108
Sabah,2024-09-01,55672,24101,31571
Sarawak,2024-09-01,171738,92541,79197
Selangor,2024-09-01,777885,423626,354259
W.P. Labuan,2024-09-01,1555,1078,477
Johor,2024-10-01,1841017,1015265,825752
Kedah,2024-10-01,62119,32829,29290
Kelantan,2024-10-01,49330,23946,25384
Melaka,2024-10-01,3497,1638,1859
Negeri Sembilan,2024-10-01,5109,2943,2166
Pahang,2024-10-01,937,554,383
Perak,2024-10-01,14155,6432,7723
Perlis,2024-10-01,58045,30079,27966
Pulau Pinang,2024-10-01,100650,46659,53991
Sabah,2024-10-01,44282,19827,24455
Sarawak,2024-10-01,150799,83570,67229
Selangor,2024-10-01,768771,415016,353755
Terengganu,2024-10-01,7,4,3
W.P. Labuan,2024-10-01,1089,772,317
