soe,date,arrivals,arrivals_male,arrivals_female
Negeri Sembilan,2020-12-01,0,0,0
Pahang,2020-12-01,1,1,0
Perak,2020-12-01,6,3,3
Perlis,2020-12-01,8797,8411,386
Pulau Pinang,2020-12-01,96,63,33
Sabah,2020-12-01,11,8,3
Sarawak,2020-12-01,853,829,24
Selangor,2020-12-01,4939,3647,1292
Terengganu,2020-12-01,20,20,0
W.P. Labuan,2020-12-01,8,8,0
Johor,2021-01-01,752,663,89
Kedah,2021-01-01,17928,17913,15
Kelantan,2021-01-01,0,0,0
Melaka,2021-01-01,0,0,0
Negeri Sembilan,2021-01-01,0,0,0
Pahang,2021-01-01,0,0,0
Perak,2021-01-01,9,4,5
Perlis,2021-01-01,9933,9483,450
Pulau Pinang,2021-01-01,91,49,42
Sabah,2021-01-01,10,6,4
Sarawak,2021-01-01,946,915,31
Selangor,2021-01-01,6179,4663,1516
Terengganu,2021-01-01,13,13,0
W.P. Labuan,2021-01-01,6,6,0
Johor,2021-02-01,819,720,99
Kedah,2021-02-01,16131,16088,43
Kelantan,2021-02-01,3,1,2
Melaka,2021-02-01,0,0,0
Negeri Sembilan,2021-02-01,0,0,0
Pahang,2021-02-01,0,0,0
Perak,2021-02-01,6,2,4
Perlis,2021-02-01,9335,8951,384
Pulau Pinang,2021-02-01,101,65,36
Sabah,2021-02-01,18,8,10
Sarawak,2021-02-01,756,740,16
Selangor,2021-02-01,6120,4659,1461
Terengganu,2021-02-01,11,11,0
W.P. Labuan,2021-02-01,9,9,0
Johor,2021-03-01,932,819,113
Kedah,2021-03-01,19205,19153,52
Kelantan,2021-03-01,4,2,2
Melaka,2021-03-01,2,0,2
Negeri Sembilan,2021-03-01,0,0,0
Pahang,2021-03-01,1,1,0
Perak,2021-03-01,4,0,4
Perlis,2021-03-01,10974,10616,358
Pulau Pinang,2021-03-01,157,99,58
Sabah,2021-03-01,18,18,0
Sarawak,2021-03-01,1087,1059,28
Selangor,2021-03-01,10026,7211,2815
Terengganu,2021-03-01,18,18,0
W.P. Labuan,2021-03-01,6,3,3
Johor,2021-04-01,842,748,94
Kedah,2021-04-01,17851,17811,40
Kelantan,2021-04-01,5,2,3
Melaka,2021-04-01,0,0,0
Negeri Sembilan,2021-04-01,0,0,0
Pahang,2021-04-01,3,3,0
Perak,2021-04-01,10,4,6
Perlis,2021-04-01,8160,7879,281
Pulau Pinang,2021-04-01,109,63,46
Sabah,2021-04-01,7,5,2
Sarawak,2021-04-01,981,952,29
Selangor,2021-04-01,9902,7215,2687
Terengganu,2021-04-01,0,0,0
W.P. Labuan,2021-04-01,10,10,0
Johor,2021-05-01,449,412,37
